SA2_CODE21,SA2_NAME21,tree_count,tree_sum,tree_pc,uhi_mean
206051513,St Kilda - Central,22674,3549,15.65228897,4.772793179
206051514,St Kilda - West,34847,5931,17.02011651,4.818773786
206061135,Armadale,32178,7460,23.18354155,4.49929604
206061136,Prahran - Windsor,42815,5839,13.63774378,4.512699655
206061138,Toorak,63737,24263,38.0673706,4.193466367
206061515,South Yarra - North,17250,6018,34.88695652,4.059353664
206061516,South Yarra - South,19864,2556,12.86749899,4.551966452
206071139,Abbotsford,25659,5276,20.56198605,4.879237367
206071140,Carlton North - Princes Hill,33941,6542,19.27462361,5.154565969
206071141,Collingwood,18672,982,5.259211654,5.29429796
206071142,Fitzroy,20288,1877,9.251774448,4.806658401
206071143,Fitzroy North,36900,7072,19.16531165,5.069976269
206071145,Clifton Hill - Alphington,76705,34989,45.61501858,4.479382918
206071517,Richmond (South) - Cremorne,63186,11129,17.61307885,4.893004947
206071518,Richmond - North,28349,2862,10.0955942,5.245757557
207011146,Ashburton (Vic.),41828,22248,53.18925122,4.947058103
207011147,Balwyn,82288,42951,52.19594595,4.95382148
207011148,Balwyn North,130343,66988,51.39363065,5.421414436
207011149,Camberwell,107469,57104,53.13532274,4.770951581
207011150,Glen Iris - East,84108,46094,54.80334808,4.78476812
207011152,Hawthorn East,56372,19729,34.99787128,4.729372531
207011154,Kew East,59147,29963,50.65852875,4.46316935
207011155,Surrey Hills (West) - Canterbury,84031,46548,55.39384275,4.346729726
207011519,Hawthorn - North,36173,13813,38.18593979,4.446135764
207011520,Hawthorn - South,47402,17464,36.84232733,4.647061147
207011521,Kew - South,63692,25206,39.57482886,4.928235852
207011522,Kew - West,91475,52857,57.78300082,4.413883038
207021156,Bulleen,98215,44135,44.93712773,5.353897098
207021157,Doncaster,129228,61105,47.28464419,5.688681346
207021159,Templestowe,237275,161157,67.91992414,5.598613812
207021160,Templestowe Lower,87436,45827,52.41204996,5.72424146
207021424,Doncaster East - North,94294,52162,55.31847201,5.947735742
207021425,Doncaster East - South,70235,28846,41.07069125,5.672874912
207031161,Blackburn,126828,74559,58.78749172,4.773771058
207031162,Blackburn South,53013,28175,53.14734122,5.290901155
207031163,Box Hill,103339,44334,42.9015183,5.081663642
